A,B,C,D,E
0.28773140658810936,0.6489213064213497,0.9244578754593934,0.3835727140250387,0.6624162947048254
0.5844479160690024,0.8124208654506081,0.061384732313166324,0.4933229485459679,0.8299812939867399
0.3957215495551576,0.13639155145949322,0.28072633418836124,0.6760329444334029,0.011737924872317063
0.10503085029723314,0.18119687567479348,0.6042547544434439,0.5352296133734298,0.09684771997280572
0.10594995501421778,0.8877216249256719,0.09689777648684117,0.8284629914112456,0.4983173250952424
0.04268730991832426,0.35516464985010976,0.5297324509393461,0.049257542824403644,0.9510225333955978
0.9255621931361504,0.9628446538659039,0.592271078829235,0.13190061808619136,0.453499738427525
0.6702882908623656,0.7195637562008025,0.7282969812298894,0.6465163498786853,0.030804570382535923
0.5719879013431078,0.8812523007033561,0.5616956855775692,0.4152164777580968,0.4425227501767818
0.860895218094114,0.10790335594805,0.9278577314390015,0.8625950061272193,0.065819133858535
0.6766379429600763,0.7558880801716198,0.11994201158724682,0.1562969302029762,0.3272323444082438
0.7010047958891965,0.6453415369595679,0.4034803926727346,0.25078537349909114,0.44180974055156497
0.912447236521927,0.902444978533693,0.6735899171373366,0.7903563022065382,0.6385677731456856
0.8591362957975475,0.6219874509431761,0.370981134735485,0.702464617534751,0.5480951391642346
0.18647847803625806,0.36293137540301235,0.7280840006499197,0.3079014782380608,0.729082047085947
0.06808034524394635,0.9134070262966635,0.6582408659424615,0.6872260917094286,0.704140446082869
0.7234319113888916,0.13766489411957528,0.054010001614759995,0.5815765734545907,0.0002634243331779418
0.8945665928652496,0.2600777730753838,0.9744191859723458,0.25584633261679424,0.5167944876853416
0.12881049850902282,0.3626578823689661,0.9631072069281188,0.17307551486122263,0.4842403671317991
0.9876208239373846,0.8909012795060015,0.769342544946113,0.9598003389868257,0.021835036857339785
0.16867866297048306,0.11635170642327364,0.6725626140255806,0.45527202321744253,0.19010373343707698
0.3256358050693806,0.09226261482583498,0.8488490544922002,0.5032382899198075,0.8172125938602849
0.010047095899807124,0.6184448757065942,0.44470998381973514,0.4112451676108271,0.21109110930837427
0.8213211072351082,0.01930650913313281,0.17293831042829488,0.8782062057969922,0.25166599864900663
0.04535056838003382,0.3142651854913836,0.5087923573410899,0.988035451002149,0.10258442206157936
0.5874854193960797,0.10964111032076407,0.5396182025660623,0.6102795633148197,0.8933144250359378
0.24034077216055327,0.5366670986616452,0.1016941960223876,0.6995093885007364,0.6628236394609569
0.7595590069446932,0.934009150183974,0.4722733381789015,0.0013088722932347308,0.4363880955163165
0.9908286913471693,0.7782478730463983,0.29644860760363956,0.11537939480440584,0.18433329430529855
0.9417337376282456,0.40246577010935947,0.9662580085358955,0.13049889521531666,0.5868588097702077
0.37048999004289085,0.10086875868804002,0.44661368835366533,0.936304009318752,0.0890979064034424
0.6166471971607717,0.10707914332578639,0.8576643622787024,0.21643405479602684,0.663665723193979
0.7897917901712296,0.5672682097720481,0.3552317555306753,0.4795882642988474,0.5598685981149061
0.22255606540060335,0.6747643557005699,0.619920694698765,0.3084116578682433,0.6742514582059747
